Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,description_generated (product.metafields.amasty.description_generated),seo_description_generated (product.metafields.amasty.seo_description_generated),seo_title_generated (product.metafields.amasty.seo_title_generated),title_generated (product.metafields.amasty.title_generated),Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
5-htp,5-HTP,"<p>5-HTP occurs naturally in the body. Typically, people produce enough for regular functioning, but some require supplementation. 5-HTP dietary supplements aid in supporting normal serotonin levels in the brain and emotional well-being. </p><p><br></p><p>Since 5-HTP is naturally present in the body, supplementing with it is a clean, holistic way to support normal serotonin levels.* </p><p><br></p><p><strong>Ingredients: </strong>Calcium (as Calcium Carbonate), 5-Hydroxytryptophan (from Griffo via simplicifolia seed extract), Gelatin (capsule), Magnesium Stearate. </p><p><strong>Manufacturer Country</strong>: USA</p><p><strong>Product Amount</strong>: 60 caps</p><p><strong>Gross Weight: </strong>0.25lb (113g)</p><p><strong style=""color: rgb(0, 0, 0);"">Suggested Use:</strong><span style=""color: rgb(0, 0, 0);""> Take two (2) capsules once a day as a dietary supplement. For best results, take 20-30 min before a meal with an 8oz (236 ml) glass of water or as directed by your healthcare professional.</span></p><p><strong>Caution: </strong>Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.</p><p><strong>Warning:</strong> Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place.</p><p><br></p><p><strong>*These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease.</strong></p> <p>
          <img src=""https://storage.googleapis.com/supliful/categories/images/20221206094907-gluten-free-2x.png"" alt=""Gluten-free"" style=""height: 6rem; width: auto;"">
          <img src=""https://storage.googleapis.com/supliful/categories/images/20221206095432-lactose-free-2x.png"" alt=""Lactose-free"" style=""height: 6rem; width: auto;"">
          <img src=""https://storage.googleapis.com/supliful/categories/images/20221206095601-allergen-free-2x.png"" alt=""Allergen-free"" style=""height: 6rem; width: auto;"">
          <img src=""https://storage.googleapis.com/supliful/categories/images/20221206095715-hormone-free-2x.png"" alt=""Hormone-free"" style=""height: 6rem; width: auto;"">
          <img src=""https://storage.googleapis.com/supliful/categories/images/20221206100008-100--natural-2x.png"" alt=""All natural"" style=""height: 6rem; width: auto;"">
          <img src=""https://storage.googleapis.com/supliful/categories/images/20221206100059-antibiotic-free-2x.png"" alt=""Antibiotic-free"" style=""height: 6rem; width: auto;"">
          <img src=""https://storage.googleapis.com/supliful/categories/images/20221206101002-corn-free-2x.png"" alt=""Corn-free"" style=""height: 6rem; width: auto;""></p>",Hello Healthy store,,Amino Acids & Blends,,true,Title,Default Title,,,,,,,,VOX45HTP,113.3980925,,continue,manual,19.90,,true,true,,https://cdn.shopify.com/s/files/1/0678/4928/9863/files/1758044019636-generated-label-image-0.jpg?v=1758045639,1,,false,,,,,,,,,,,,,,,,,,,,lb,,9.79,active
5-htp,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0678/4928/9863/files/1758044019637-generated-label-image-2.jpg?v=1758045639,2,,,,,,,,,,,,,,,,,,,,,,,,,
5-htp,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0678/4928/9863/files/1758044019636-generated-label-image-1.jpg?v=1758045639,3,,,,,,,,,,,,,,,,,,,,,,,,,
5-htp,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0678/4928/9863/files/1758044019638-generated-label-image-3.jpg?v=1758045639,4,,,,,,,,,,,,,,,,,,,,,,,,,
5-htp,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0678/4928/9863/files/1758044019639-generated-label-image-4.jpg?v=1758045639,5,,,,,,,,,,,,,,,,,,,,,,,,,
5-htp,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0678/4928/9863/files/20250617184915-vox45htp-sf.png?v=1758045639,6,,,,,,,,,,,,,,,,,,,,,,,,,
advanced-100-whey-protein-isolate-chocolate,Advanced 100% Whey Protein Isolate (Chocolate),"<body>




    
    <p>
        Indulge in the sumptuous taste of <strong>Advanced 100% Whey Protein Isolate (Chocolate)</strong>. This premium protein supplement is specially formulated to provide your body with top-tier protein that supports muscle development and recovery. With its delightful chocolate flavor, it’s perfect for athletes and fitness aficionados seeking a delicious post-workout shake or a nutritious protein hit throughout the day.
    </p>
    <h2>Health Benefits:</h2>
    <ul>
        <li>
<strong>High-Quality Protein:</strong> Each serving offers 22g of pure whey protein isolate to facilitate muscle recovery and growth.</li>
        <li>
<strong>Decadent Chocolate Flavor:</strong> Savor the rich, chocolatey goodness with every scoop.</li>
        <li>
<strong>Versatile Usage:</strong> Perfect as a post-workout shake or for a protein boost any time of the day.</li>
        <li>
<strong>Digestive Health:</strong> Infused with apple pectin powder for optimal digestive support.</li>
        <li>
<strong>Healthy Fats:</strong> Features MCT oil powder for rapid energy and improved metabolism.</li>
    </ul>
    <h2>Ingredients:</h2>
    <p>
        Whey Protein Isolate, Cocoa Powder, MCT Oil Powder, Natural Flavors, Sunflower Lecithin, Apple Pectin Powder, Sea Salt, Stevia Extract, Silicon Dioxide.
    </p>
    <h2>Suggested Use:</h2>
    <p>
        As a dietary supplement, adults should mix two (2) scoops with 6-8 oz. of water or your preferred beverage daily. For optimal results, consume 20-30 minutes before a meal with 8 oz. of water or as directed by a healthcare professional.
    </p>
    <h2>Country of Manufacture:</h2>
    <p>USA</p>
    <h2>Product Amount:</h2>
    <p>29.60 oz. (839 g)</p>
    <h2>Warning:</h2>
    <p>Do not exceed the recommended dosage.</p>


<p><img src=""https://supliful.s3.amazonaws.com/categories/images/20221206124537-vegetarian.png"" alt=""Vegetarian"" style=""height: 6rem; width: auto;""></p>
<p><img src=""https://supliful.s3.amazonaws.com/categories/images/20221206100927-non-gmo-2x.png"" alt=""Non-GMO"" style=""height: 6rem; width: auto;""></p>
</body>",Hello Healthy store,,Proteins & Blends,,true,Title,Default Title,,,,,,,,JTP7ADWC,907.18474,,continue,manual,49.90,,true,true,,https://cdn.shopify.com/s/files/1/0678/4928/9863/files/1758044351820-generated-label-image-0.jpg?v=1758045651,1,,false,,,,,,,,,,,,,,TRUE,,,,,,lb,,27.75,active
advanced-100-whey-protein-isolate-chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0678/4928/9863/files/1758044351821-generated-label-image-1.jpg?v=1758045651,2,,,,,,,,,,,,,,,,,,,,,,,,,
advanced-100-whey-protein-isolate-chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0678/4928/9863/files/1758044351824-generated-label-image-3.jpg?v=1758045652,3,,,,,,,,,,,,,,,,,,,,,,,,,
advanced-100-whey-protein-isolate-chocolate,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0678/4928/9863/files/1758044351822-generated-label-image-2.jpg?v=1758045651,4,,,,,,,,,,,,,,,,,,,,,,,,,
