Handle,Title,Body (HTML),Vendor,Product Category,Type,Tags,Published,Option1 Name,Option1 Value,Option1 Linked To,Option2 Name,Option2 Value,Option2 Linked To,Option3 Name,Option3 Value,Option3 Linked To,Variant SKU,Variant Grams,Variant Inventory Tracker,Variant Inventory Policy,Variant Fulfillment Service,Variant Price,Variant Compare At Price,Variant Requires Shipping,Variant Taxable,Variant Barcode,Image Src,Image Position,Image Alt Text,Gift Card,SEO Title,SEO Description,Google Shopping / Google Product Category,Google Shopping / Gender,Google Shopping / Age Group,Google Shopping / MPN,Google Shopping / Condition,Google Shopping / Custom Product,Google Shopping / Custom Label 0,Google Shopping / Custom Label 1,Google Shopping / Custom Label 2,Google Shopping / Custom Label 3,Google Shopping / Custom Label 4,Google: Custom Product (product.metafields.mm-google-shopping.custom_product),Animal type (product.metafields.shopify.animal-type),Constitutive ingredients (product.metafields.shopify.constitutive-ingredients),Material (product.metafields.shopify.material),Pet supply product form (product.metafields.shopify.pet-supply-product-form),Variant Image,Variant Weight Unit,Variant Tax Code,Cost per item,Status
sleep-strips,Sleep Strips,"<p><strong>*** Please note that ONLY the metal tin label can be customized. The individual small packets cannot be customized and come as seen in the product image ***</strong></p><p><br></p><p>Whether you enjoy an active lifestyle or just need an extra boost during the day, Sleep oral strips will give you the energy to do anything. Imagine waking up refreshed every day without feeling groggy and exhausted anymore. This can be possible thanks to the combination of ingredients that effectively improves both the quality and quantity of sleep.</p><p>Valerian extract, Lavender, Chamomile, Hibiscus Extract, and Melatonin all have properties that can help promote relaxation and improve sleep quality, which can work together to create a synergistic effect on the body and mind, leading to better overall health and well-being, making it the perfect non-addictive sleeping aid. Sleep oral strips are easy-to-take - have them anytime before bedtime for maximum results.*</p><p><br></p><p><strong>Ingredients:</strong> Pullulan, Valerian root extract, Lavender extract, Chamomile extract, Hibiscus extract, Cellulose, Raspberry Flavor, Malic acid, Xylitol, Lecithin, Erythritol, Sorbitol Syrup, Medium Chain Triglycerides, Steviol Glycosides, Melatonin</p><p><strong>Flavor: </strong>Raspberry</p><p><strong>Manufacturer Country:</strong> India</p><p><strong>Amoun</strong>t: 30 oral strips</p><p><strong>Gross Weight: </strong>0.14lb (63g)</p><p><strong>Suggested Use: </strong> Place one oral strip on your tongue and allow it to dissolve. Take one oral strip anytime, up to a maximum of 1 strip a day.</p><p><strong>Caution: </strong>Do not exceed recommended dose. Pregnant or nursing mothers, children under the age of 18, and individuals with a known medical condition should consult a physician before using this or any dietary supplement.</p><p><strong>Warning: </strong>This product is not intended to diagnose, treat, cure or prevent any disease. Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place.</p><p><br></p><p><strong>*These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease.</strong></p> <p>
          <img src=""https://supliful.s3.amazonaws.com/categories/images/20221206094907-gluten-free-2x.png"" alt=""Gluten-free"" style=""height: 6rem; width: auto;"">
          <img src=""https://supliful.s3.amazonaws.com/categories/images/20221206124537-vegetarian.png"" alt=""Vegetarian"" style=""height: 6rem; width: auto;"">
          <img src=""https://supliful.s3.amazonaws.com/categories/images/20221206095432-lactose-free-2x.png"" alt=""Lactose-free"" style=""height: 6rem; width: auto;"">
          <img src=""https://supliful.s3.amazonaws.com/categories/images/20221206095601-allergen-free-2x.png"" alt=""Allergen-free"" style=""height: 6rem; width: auto;"">
          <img src=""https://supliful.s3.amazonaws.com/categories/images/20221206095715-hormone-free-2x.png"" alt=""Hormone-free"" style=""height: 6rem; width: auto;"">
          <img src=""https://supliful.s3.amazonaws.com/categories/images/20221206100829-no-fillers-2x.png"" alt=""No fillers"" style=""height: 6rem; width: auto;"">
          <img src=""https://supliful.s3.amazonaws.com/categories/images/20221206100927-non-gmo-2x.png"" alt=""Non-GMO"" style=""height: 6rem; width: auto;"">
          <img src=""https://supliful.s3.amazonaws.com/categories/images/20221206101002-corn-free-2x.png"" alt=""Corn-free"" style=""height: 6rem; width: auto;"">
          <img src=""https://supliful.s3.amazonaws.com/categories/images/20221206124358-vegan.png"" alt=""Vegan friendly"" style=""height: 6rem; width: auto;"">
          <img src=""https://supliful.s3.amazonaws.com/categories/images/20230713155659-halal-certified-v2.png"" alt=""Halal"" style=""height: 6rem; width: auto;""></p>",Hello Healthy,,Vitamins & Minerals,"",true,Title,Default Title,,,,,,,,AAV9SLEE,63.5029318,shopify,continue,supliful-fulfillment,36.50,,true,true,,https://cdn.shopify.com/s/files/1/0938/1815/9418/files/1744347005723-generated-label-image-3.jpg?v=1744365946,1,"",false,,,,,,,,,,,,,,,,,,,,lb,,11.50,active
sleep-strips,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/1815/9418/files/1744347005728-generated-label-image-5.jpg?v=1744365946,2,"",,,,,,,,,,,,,,,,,,,,,,,,
sleep-strips,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/1815/9418/files/1744347005730-generated-label-image-7.jpg?v=1744365946,3,"",,,,,,,,,,,,,,,,,,,,,,,,
sleep-strips,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/1815/9418/files/1744347005729-generated-label-image-6.jpg?v=1744365946,4,"",,,,,,,,,,,,,,,,,,,,,,,,
sleep-strips,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/1815/9418/files/1744347005719-generated-label-image-2.jpg?v=1744365946,5,"",,,,,,,,,,,,,,,,,,,,,,,,
sleep-strips,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/1815/9418/files/1744347005716-generated-label-image-1.jpg?v=1744365946,6,"",,,,,,,,,,,,,,,,,,,,,,,,
sleep-strips,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/1815/9418/files/1744347005715-generated-label-image-0.jpg?v=1744365946,7,"",,,,,,,,,,,,,,,,,,,,,,,,
sleep-strips,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/1815/9418/files/1744347005725-generated-label-image-4.jpg?v=1744365946,8,"",,,,,,,,,,,,,,,,,,,,,,,,
sleep-strips,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/1815/9418/files/20240325142718-aav1ener-sf.png?v=1744365946,9,"",,,,,,,,,,,,,,,,,,,,,,,,
ultra-cleanse-smoothie-greens,Ultra Cleanse Smoothie Greens,"<p>Ultra Cleanse Smoothie Greens is a blend of organic grasses, superfoods, and botanical extracts designed to fuel the body with broad-spectrum nutrients for optimal mental and physical functionality. </p><p><br></p><p>This whole-food blend empowers the body through fruits and vegetables, organic grasses, adaptogens, immune-boosting herbs, plant extracts, and enzymes.*</p><p><br></p><p><strong>Ingredients</strong>: Great Grains Blend (Brown Rice Bran Powder, Organic Flax Powder, Barley Malt Powder), Herbal Blend (Organic Alfalfa Powder, Parsley Powder, Bee Pollen Powder, Siberian Ginseng Powder, Aloe Vera Powder, Astragalus Powder, Bilberry Powder, Ginger Powder, Gingko Biloba Powder, Green Tea Powder, Licorice Powder, Milk Thistle Powder, Peppermint Powder, Royal Jelly Powder, Schisandra Powder, Stevia Extract Powder), Sea Vegetable Powder (Spirulina Powder, Chlorella Powder, Sea Whistle Powder), Fruit Blend (Apple Pectin Powder, Pineapple Powder, Grape Skin Extract, Acerola Juice Powder), Green Grass Blend (Organic Barley Grass Powder, Organic Kamut Grass Powder, Organic Oat Grass Powder, Organic Rye Grass Powder, Organic Wheat Grass Powder), Vegetable Blend (Beet Juice Powder, Broccoli Powder, Rhubarb Juice Powder, Spinach Powder), Fructooligosaccharides (FOS), silica.</p><p><strong>Flavor:</strong> Herbs, vegetable, and fruit mix.</p><p><strong>Manufacturer Country: </strong>USA</p><p><strong>Product Amount: </strong>0.55lb (250g)</p><p><strong>Gross Weight:</strong> 0.67lb (304g)</p><p><strong>Suggested Use: </strong>Adults mix two (2) teaspoons into 8 oz. (237 ml) of apple juice or other favorite liquid, or use as directed by a health care professional. Store in a cool, dry place and away from direct light. Great with apple juice.</p><p><strong>Caution: </strong>Consult your physician before using this product if you are pregnant or nursing, taking medications, or have a medical condition. Discontinue use two weeks before surgery.</p><p><strong>Warning:</strong> Keep out of reach of children. Do not use if the safety seal is damaged or missing. Store in a cool, dry place.</p><p><br></p><p><strong>*These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease.</strong></p> <p>
          <img src=""https://supliful.s3.amazonaws.com/categories/images/20221206124537-vegetarian.png"" alt=""Vegetarian"" style=""height: 6rem; width: auto;"">
          <img src=""https://supliful.s3.amazonaws.com/categories/images/20221206095432-lactose-free-2x.png"" alt=""Lactose-free"" style=""height: 6rem; width: auto;"">
          <img src=""https://supliful.s3.amazonaws.com/categories/images/20221206100829-no-fillers-2x.png"" alt=""No fillers"" style=""height: 6rem; width: auto;""></p>",Hello Healthy,,Natural Extracts,"",true,Title,Default Title,,,,,,,,RLC5GRNS,303.9068879,shopify,continue,supliful-fulfillment,42.90,,true,true,,https://cdn.shopify.com/s/files/1/0938/1815/9418/files/1744458244521-generated-label-image-0.jpg?v=1744458303,1,"",false,,,,,,,,,,,,,,,,,,,,lb,,27.50,active
ultra-cleanse-smoothie-greens,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/1815/9418/files/1744458244522-generated-label-image-1.jpg?v=1744458303,2,"",,,,,,,,,,,,,,,,,,,,,,,,
ultra-cleanse-smoothie-greens,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/1815/9418/files/1744458244525-generated-label-image-2.jpg?v=1744458303,3,"",,,,,,,,,,,,,,,,,,,,,,,,
ultra-cleanse-smoothie-greens,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/1815/9418/files/1744458244526-generated-label-image-3.jpg?v=1744458303,4,"",,,,,,,,,,,,,,,,,,,,,,,,
ultra-cleanse-smoothie-greens,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/1815/9418/files/20240618164946-rlc5grns-sf.png?v=1744458302,5,"",,,,,,,,,,,,,,,,,,,,,,,,
colon-gentle-cleanse,Colon Gentle Cleanse,"<p>Our Colon Cleanser is a dietary supplement designed to support and maintain digestive health. Formulated with a blend of natural ingredients, it helps promote regular bowel movements and ease digestive discomfort. This product combines the benefits of fiber, natural extracts, and digestive enzymes to gently cleanse the colon and support overall digestive function. Ideal for those seeking a natural way to maintain regularity and digestive balance, our Colon Cleanser provides an effective solution for a healthy digestive system.*</p><p><br></p><p>Ginger Root (Zingiber officinale Roscoe) extract promotes normal intestinal peristalsis due to the presence of gingerol. Psyllium Husk (Plantago ovata Forsk.) is rich in water-soluble fiber, excellent for stimulating the transit of intestinal masses. It does not irritate the intestines and has prebiotic properties, supporting a balanced and comfortable digestive system.*</p><p><br></p><p><strong>Key Features:</strong></p><p>• Promotes regular bowel movements</p><p>• Supports digestive health</p><p>• Maintains digestive comfort</p><p>• Contains a blend of natural ingredients including fiber and digestive enzymes</p><p><br></p><p><strong>Ingredients: </strong>Psyllium husk (Plantago Ovata) seed powder,Tamarind (Tamarindus Indica) fruit extract, Digestive Enzyme blend from fermented cereals (amylase, lactase, lipase, cellulase), Ginger root (Zingiber officinale Roscoe)</p><p><strong>Manufacturer's country:</strong> Latvia</p><p><strong>Product amount:</strong> 30 sachets</p><p><strong>Net weight: </strong> 0.20 lb / 90g</p><p><strong>Gross weight<span class=""ql-cursor"">﻿</span>:</strong> 0.36 lb / 163g</p><p><strong>Suggested use: </strong>Recommended in the diet as an additional source of fiber to support intestinal functions. It is recommended to take one sachet once or twice a day, separate from meals. The contents of the bag should be poured into a glass filled with non-carbonated water (6.76 oz / 200 ml), stir well and drink immediately.</p><p>A possible increase in consistency into a jelly-like mass is characteristic of this preparation and does not affect the quality of the product.</p><p><strong>Warning: </strong>It is not recommended to take in case of individual hypersensitivity to the components, as well as children under 12 years of age. Do not exceed the recommended daily dose. The dietary supplement could not be used as a substitute for a complete diet. Take not earlier than 2 h after possible medication. It is recommended to consult your doctor before use.</p><p><br></p><p><strong>*These statements have not been evaluated by the Food and Drug Administration. This product is not intended to diagnose, treat, cure, or prevent any disease.</strong></p> <p>
          <img src=""https://supliful.s3.amazonaws.com/categories/images/20221206094907-gluten-free-2x.png"" alt=""Gluten-free"" style=""height: 6rem; width: auto;"">
          <img src=""https://supliful.s3.amazonaws.com/categories/images/20221206124537-vegetarian.png"" alt=""Vegetarian"" style=""height: 6rem; width: auto;"">
          <img src=""https://supliful.s3.amazonaws.com/categories/images/20221206095432-lactose-free-2x.png"" alt=""Lactose-free"" style=""height: 6rem; width: auto;"">
          <img src=""https://supliful.s3.amazonaws.com/categories/images/20221206095601-allergen-free-2x.png"" alt=""Allergen-free"" style=""height: 6rem; width: auto;"">
          <img src=""https://supliful.s3.amazonaws.com/categories/images/20221206095715-hormone-free-2x.png"" alt=""Hormone-free"" style=""height: 6rem; width: auto;"">
          <img src=""https://supliful.s3.amazonaws.com/categories/images/20221206100008-100--natural-2x.png"" alt=""All natural"" style=""height: 6rem; width: auto;"">
          <img src=""https://supliful.s3.amazonaws.com/categories/images/20221206100059-antibiotic-free-2x.png"" alt=""Antibiotic-free"" style=""height: 6rem; width: auto;"">
          <img src=""https://supliful.s3.amazonaws.com/categories/images/20221206100927-non-gmo-2x.png"" alt=""Non-GMO"" style=""height: 6rem; width: auto;"">
          <img src=""https://supliful.s3.amazonaws.com/categories/images/20221206101002-corn-free-2x.png"" alt=""Corn-free"" style=""height: 6rem; width: auto;"">
          <img src=""https://supliful.s3.amazonaws.com/categories/images/20221206124358-vegan.png"" alt=""Vegan friendly"" style=""height: 6rem; width: auto;""></p>",Hello Healthy,,Specialty Supplements,"",true,Title,Default Title,,,,,,,,NRT5COLO,163.2932532,shopify,continue,supliful-fulfillment,35.00,,true,true,,https://cdn.shopify.com/s/files/1/0938/1815/9418/files/1744459153149-generated-label-image-0.jpg?v=1744459197,1,"",false,,,,,,,,,,,,,,,,,,,,lb,,17.90,active
colon-gentle-cleanse,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/1815/9418/files/1744459153154-generated-label-image-2.jpg?v=1744459197,2,"",,,,,,,,,,,,,,,,,,,,,,,,
colon-gentle-cleanse,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/1815/9418/files/1744459153150-generated-label-image-1.jpg?v=1744459197,3,"",,,,,,,,,,,,,,,,,,,,,,,,
colon-gentle-cleanse,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/1815/9418/files/1744459153155-generated-label-image-3.jpg?v=1744459197,4,"",,,,,,,,,,,,,,,,,,,,,,,,
colon-gentle-cleanse,,,,,,,,,,,,,,,,,,,,,,,,,,,https://cdn.shopify.com/s/files/1/0938/1815/9418/files/20240813171215-nrt5colo-sf.png?v=1744459197,5,"",,,,,,,,,,,,,,,,,,,,,,,,
